year,month,component,question number,answer,text,screenshot_path,ms_path,marks
2019.0,s,21,3.0,D,3  The photomicrograph shows part of an animal cell. 3 X What is the structure labelled X? A  chloroplast B  mitochondrion C ribosome D  vacuole,screenshots/biology/2019/summer/component21/q3,,
2019.0,s,21,4.0,C,4  Which features are possessed by all plant cells? a cell wall chloroplasts (cid:22) (cid:22) (cid:26) (cid:26) (cid:22) (cid:26) (cid:22) (cid:26) key (cid:22)= present (cid:26)= absent A B C D [Turn over,screenshots/biology/2019/summer/component21/q4,,
2019.0,s,21,5.0,C,5  The diagram shows part of the skin. 4 What is the correct level of organisation for the skin? A  cell B  organ C  organ system D tissue,screenshots/biology/2019/summer/component21/q5,,
2019.0,s,21,6.0,D,6  The diagram shows a test-tube containing clear jelly. A drop of blue ink is injected into the middle of the jelly. clear jelly drop of blue ink The blue colour of the ink spreads throughout the jelly. By which process does the blue ink spread through the jelly? A  active transport B  catalysis C  diffusion D  osmosis,screenshots/biology/2019/summer/component21/q6,,
2019.0,s,21,7.0,D,"7  The apparatus shown was set up. 5 glass tube sugar solution and blue ink partially permeable membrane pure water Some hours later, the water in the beaker had turned blue, and the liquid in the glass tube had moved upwards. Which processes caused these changes? water turned blue liquid in glass tube moved upwards osmosis active transport diffusion osmosis diffusion diffusion active transport osmosis A B C D",screenshots/biology/2019/summer/component21/q7,,
2019.0,s,21,8.0,C,"8  Four solutions were tested to see whether they contained protein, starch or glucose. The colours of the solutions after the tests are recorded in the table. Which solution contained protein and glucose but not starch? A B C D biuret test iodine test Benedict’s test blue blue purple purple brown blue-black brown blue-black orange blue orange blue [Turn over",screenshots/biology/2019/summer/component21/q8,,
2019.0,s,21,9.0,C,9  Small molecules are used as the basic units in the synthesis of large food molecules. Which statement is correct? 6 A  Amino acids are basic units of carbohydrates. B  Fatty acids are basic units of glycogen. C  Glycerol is a basic unit of oils. D  Simple sugar is a basic unit of protein.,screenshots/biology/2019/summer/component21/q9,,
2019.0,s,21,10.0,B,10  The diagrams show a protease enzyme catalysing the breaking of part of a protein molecule into smaller pieces. Which diagram has three correct labels? A C substrate enzyme substrate product product enzyme active site B D active site active site enzyme substrate product,screenshots/biology/2019/summer/component21/q10,,
2019.0,s,21,11.0,C,11  The  diagram  shows  an  experiment  to  investigate  the  balance  between  respiration  and photosynthesis. In which tube are photosynthesis and respiration taking place at the same time? D A B C 7 black polythene to keep out light water snail pond weed light light,screenshots/biology/2019/summer/component21/q11,,
2019.0,s,21,12.0,A,12  The diagram shows a cross-section of a leaf as seen under a microscope. Which structure is a palisade mesophyll cell? A D light B C [Turn over,screenshots/biology/2019/summer/component21/q12,,
2019.0,s,21,13.0,C,"13  The chart is used to find a person’s recommended mass. 8 1.85 height / m 1.80 1.75 1.70 1.65 1.60 1.55 1.50 lowlow low massmass mass ideal ideal ideal massmass mass slightly slightly slightly obese obese obese moderately moderately moderately obese obese obese 30 40 50 60 70 80 90 100 mass / kg 110 120 130 140 150 160 For the data provided about body mass and height, which person would benefit most from the introduction of a calorie-controlled diet and regular exercise? A B C D body mass / kg height / m 40 50 70 90 1.55 1.75 1.80 1.75",screenshots/biology/2019/summer/component21/q13,,
2019.0,s,21,14.0,A,14  The  cholera  bacterium  produces  toxins  that  cause  chloride  ions  to  be  secreted  into  the  small intestine. How  does  this  affect  the  water  potential  of  blood  in  the  intestinal  capillaries  and  the  intestinal contents? water potential blood in capillaries contents of small intestine lowered lowered raised raised lowered raised lowered raised A B C D,screenshots/biology/2019/summer/component21/q14,,
2019.0,s,21,15.0,A,15  A student investigates the breakdown of fats in milk by lipase. Four test-tubes labelled A to D are set up. 9 The table shows the contents of each test-tube. In which test-tube will the contents become acidic most quickly? A B C D milk bile boiled lipase lipase (cid:22) (cid:22) (cid:22) (cid:22) (cid:22) (cid:22) (cid:26) (cid:26) (cid:26) (cid:22) (cid:22) (cid:26) (cid:22) (cid:26) (cid:26) (cid:22) key (cid:22)= present (cid:26)= absent,screenshots/biology/2019/summer/component21/q15,,
2019.0,s,21,16.0,B,"16  A celery stalk was placed into a beaker of blue dye. When the dye reached the leaves, the stalk was taken out and a section was cut, as shown in the diagram. celery stalk blue dye cut Which diagram shows the appearance of the cut end of the stalk? A B C D blue dye blue dye blue dye [Turn over 10",screenshots/biology/2019/summer/component21/q16,,
2019.0,s,21,17.0,D,17  The table shows the rate of water flow through a tree over a 12 hour period. time of day rate of flow / cm per hour 17:00 19:00 11:00 13:00 15:00 17:00 19:00 100 120 140 250 300 260 180 What conclusion can be drawn from the table? A  Between 7:00 and 17:00 hours the rate of flow continuously increases. B  The greatest increase in rate of flow in a two-hour period is between 11:00 and 13:00 hours. C  Water does not flow up through a tree at night. D  Water flow is affected by humidity.,screenshots/biology/2019/summer/component21/q17,,
2019.0,s,21,18.0,B,18  The diagram shows some of the transport tissues in a plant root. Y Z Which row about tissues Y and Z in the diagram is correct? A B C D tissue Y tissue Z name phloem phloem xylem xylem transports mineral ions & water sucrose mineral ions & water sucrose name xylem xylem phloem phloem transports sucrose mineral ions & water sucrose mineral ions & water,screenshots/biology/2019/summer/component21/q18,,
2019.0,s,21,19.0,B,"19  The diagram shows cross-sections through three types of blood vessel, not drawn to the same scale. 11 V W X Which section is from a vein and which is from a capillary? A B C D vein capillary V W W X W V X W",screenshots/biology/2019/summer/component21/q19,,
2019.0,s,21,20.0,C,20  The diagram shows one way the body defends itself against pathogens. bacteria white blood cell What is the name of this defence mechanism? A  antibody production B  egestion C  phagocytosis D  vaccination [Turn over 12,screenshots/biology/2019/summer/component21/q20,,
2019.0,s,21,21.0,B,,,,
2019.0,s,21,22.0,D,,,,
2019.0,s,21,23.0,D,23  Which statement about both aerobic and anaerobic respiration is correct? A  They break down C6H12O6. B  They produce an oxygen debt. C  They use CO2. D  They use O2. 13,screenshots/biology/2019/summer/component21/q23,,
2019.0,s,21,24.0,B,24  The components of a reflex arc are shown in the flow diagram. receptor  →  sensory neurone →  synapse → relay neurone → synapse →  motor neurone  → effector Which component is responsible for ensuring that the nerve impulses travel in one direction only? receptor A  motor neurone B C  sensory neurone D  synapse,screenshots/biology/2019/summer/component21/q24,,
2019.0,s,21,25.0,A,25  What is a function of the liver? A  converting bile to urea B  converting urea to amino acids C  deamination of amino acids D  deamination of carbon dioxide,screenshots/biology/2019/summer/component21/q25,,
2019.0,s,21,26.0,D,26  Which statement about light receptors in the retina of a normal human eye is correct? A  The cones only work in dim light. B  The rods are found in the fovea. C  There are three types of cone. D  There are three types of rod. [Turn over,screenshots/biology/2019/summer/component21/q26,,
2019.0,s,21,27.0,D,27  A patient is injected with adrenaline. 14 Which graph shows the expected changes to pulse rate and blood glucose concentration? A B pulse rate blood glucose concentration pulse rate blood glucose concentration 0.5 1 0 2 time after injection / minutes 1.5 0.5 0 2 time after injection / minutes 1.5 1 C D pulse rate blood glucose concentration pulse rate blood glucose concentration 0.5 2 0 time after injection / minutes 1.5 1 0.5 2 0 time after injection / minutes 1.5 1 key pulse rate blood glucose concentration,screenshots/biology/2019/summer/component21/q27,,
2019.0,s,21,28.0,B,28  The diagram represents a synapse in the brain involved in the perception of pain. Which labelled molecule represents heroin? A B C D,screenshots/biology/2019/summer/component21/q28,,
2019.0,s,21,29.0,C,29  A human zygote is a diploid cell. Which statement about human diploid cells is correct? 15 A  They do not have a nucleus. B  They fuse to form gametes. C  The nucleus contains a single set of chromosomes. D  The nucleus contains two sets of chromosomes.,screenshots/biology/2019/summer/component21/q29,,
2019.0,s,21,30.0,B,30  Which feature allows the sperm to dissolve the jelly coating of the egg cell? A  acrosome B flagellum C  mitochondria D  nucleus,screenshots/biology/2019/summer/component21/q30,,
2019.0,s,21,31.0,B,31  Which statement about HIV is correct? A B C D It causes an increase in the number of lymphocytes. It is caused by bacteria. It increases the ability to produce antibodies. It is transmitted through sexual contact.,screenshots/biology/2019/summer/component21/q31,,
2019.0,s,21,32.0,A,32  The diagram shows the chromosomes in the nucleus of a cell that divides by mitosis. Which diagram shows the chromosomes in the nucleus of one of the daughter cells produced? A B C D [Turn over,screenshots/biology/2019/summer/component21/q32,,
2019.0,s,21,33.0,B,33  What happens as a result of meiosis? 16 A  Diploid cells are produced. B  Diploid and haploid cells are produced. C  Genetically identical cells are produced. D  Haploid cells are produced.,screenshots/biology/2019/summer/component21/q33,,
2019.0,s,21,34.0,C,34  Why is the allele for sickle-cell anaemia common in some parts of the world? A  Malaria protects against sickle-cell anaemia. B  Sickle-cell anaemia is caused by malaria. C  Sickle-cell anaemia is transmitted by mosquitoes. D  The sickle-cell anaemia allele protects against malaria.,screenshots/biology/2019/summer/component21/q34,,
2019.0,s,21,35.0,D,35  Which statement describes how a species becomes adapted to its environment? A  Genetic similarities give rise to different genotypes which may have a reproductive advantage. B  Genetic variation gives rise to different phenotypes which may have a reproductive advantage. C  Phenotypic similarities give rise to different genotypes which may have a reproductive advantage. D  Phenotypic variation gives rise to different phenotypes which may have a reproductive advantage.,screenshots/biology/2019/summer/component21/q35,,
2019.0,s,21,36.0,C,,,,
2019.0,s,21,37.0,D,,,,
2019.0,s,21,38.0,C,38  The diagram shows a bacterial cell. Which part of its structure is particularly useful in genetic engineering? 17 B C A D,screenshots/biology/2019/summer/component21/q38,,
2019.0,s,21,39.0,B,39  What can be managed sustainably? A B C D taking coal from a coalfield taking gas from under the earth’s surface taking oil from an oilfield taking wood from a woodland,screenshots/biology/2019/summer/component21/q39,,
2019.0,s,21,40.0,B,40  Large areas of tropical forests have been cleared to grow monocultures of palm oil plants. Which effect will this have on the ecosystem? A  The use of fossil fuels in the area will decrease. B  The use of pesticides in the area will decrease. C  The variety of species in the area will decrease. D  The variety of species in the area will increase. 18,screenshots/biology/2019/summer/component21/q40,,
2019.0,s,22,1.0,C,1  Carbon dioxide diffuses into a leaf. Which characteristic of living things requires this? 2 A  excretion B  movement C  nutrition D respiration ancestors.,screenshots/biology/2019/summer/component22/q1,,
2019.0,s,22,2.0,C,2  The  diagram  shows  how  Homo  sapiens  (modern  people)  could  have  evolved  from  earlier Homo sapiens (modern people) Homo heidelbergensis Homo erectus Homo habilis Which statement about modern people and their ancestors is correct? A  They are in the same species and the same genus. B  They are in the same species but not the same genus. C  They are in the same genus but not the same species. D  They are neither the same species nor the same genus.,screenshots/biology/2019/summer/component22/q2,,
2019.0,s,22,3.0,D,3  Heart muscle cells have a high rate of metabolism. Which structure do they require to be present in high numbers? A  chloroplasts B  mitochondria C  cell walls D  vacuoles,screenshots/biology/2019/summer/component22/q3,,
2019.0,s,22,4.0,D,4  Which features are possessed by all plant cells? a cell wall chloroplasts 3 A B C D (cid:22) (cid:22) (cid:26) (cid:26) (cid:22) (cid:26) (cid:22) (cid:26) key (cid:22)= present (cid:26)= absent,screenshots/biology/2019/summer/component22/q4,,
2019.0,s,22,5.0,C,5  The diagram shows a xylem vessel in a plant stem. The magnification is ×400. X XX Y Y What is the actual width of the xylem vessel along the line XY? A  8.75 µm B  14 µm C  87.5 µm D  140 µm ×400 [Turn over 4,screenshots/biology/2019/summer/component22/q5,,
2019.0,s,22,6.0,B,6  The diagram shows a test-tube containing clear jelly. A drop of blue ink is injected into the middle of the jelly. clear jelly drop of blue ink The blue colour of the ink spreads throughout the jelly. By which process does the blue ink spread through the jelly? A  active transport B  catalysis C  diffusion D  osmosis,screenshots/biology/2019/summer/component22/q6,,
2019.0,s,22,7.0,B,7  Which process describes osmosis? A  diffusion of water through a cell wall B  diffusion of water through a partially permeable membrane C  diffusion of water through the cell sap D  diffusion of water through the cytoplasm,screenshots/biology/2019/summer/component22/q7,,
2019.0,s,22,8.0,C,8  Which row shows the chemical elements contained in fats? A B C D carbon hydrogen nitrogen oxygen (cid:22) (cid:22) (cid:26) (cid:22) (cid:22) (cid:22) (cid:22) (cid:26) (cid:26) (cid:22) (cid:22) (cid:22) (cid:22) (cid:22) (cid:26) (cid:22) key (cid:22)= present (cid:26)= absent,screenshots/biology/2019/summer/component22/q8,,
2019.0,s,22,9.0,C,9  Small molecules are used as the basic units in the synthesis of large food molecules. Which statement is correct? A  Amino acids are basic units of carbohydrates. B  Fatty acids are basic units of glycogen. C  Glycerol is a basic unit of oils. D  Simple sugar is a basic unit of protein.,screenshots/biology/2019/summer/component22/q9,,
2019.0,s,22,10.0,C,10  The diagrams show a protease enzyme catalysing the breaking of part of a protein molecule into smaller pieces. 5 Which diagram has three correct labels? A C substrate enzyme substrate product product enzyme active site B D active site active site enzyme substrate,screenshots/biology/2019/summer/component22/q10,,
2019.0,s,22,11.0,A,11  The  diagram  shows  an  experiment  to  investigate  the  balance  between  respiration  and photosynthesis. product In which tube are photosynthesis and respiration taking place at the same time? D A B C black polythene to keep out light water snail pond weed light light light [Turn over,screenshots/biology/2019/summer/component22/q11,,
2019.0,s,22,12.0,D,12  Some gardeners use Epsom salts (magnesium sulfate) as a fertiliser for their plants. Epsom salts 6 release magnesium ions into the soil. How would this benefit the plants? A  prevents pests from eating the leaves B  prevents the leaves from going yellow C  prevents water loss from the leaves D  prevents the growth of weeds,screenshots/biology/2019/summer/component22/q12,,
2019.0,s,22,13.0,C,13  The food label is from a packet of cereal. The label can help someone who is concerned about their diet. Nutrition Typical values Energy Fat of which saturates Carbohydrate of which sugars Fibre Protein Salt 100 g contains 985 kJ 235 kcal 1.5 g 0.3 g 45.5 g 3.8 g 2.8 g 7.7 g 0.5 g A person eats 45 g of cereal. One of the food types listed in the label can help prevent constipation. How many grams of this food type does the person eat? A  1.3 g B  2.8 g C  3.5 g D  7.7 g 7,screenshots/biology/2019/summer/component22/q13,,
2019.0,s,22,14.0,A,14  The  cholera  bacterium  produces  toxins  that  cause  chloride  ions  to  be  secreted  into  the  small intestine. How  does  this  affect  the  water  potential  of  blood  in  the  intestinal  capillaries  and  the  intestinal contents? water potential blood in capillaries contents of small intestine lowered lowered raised raised lowered raised lowered raised A B C D,screenshots/biology/2019/summer/component22/q14,,
2019.0,s,22,15.0,A,,,,
2019.0,s,22,16.0,B,"16  A celery stalk was placed into a beaker of blue dye. When the dye reached the leaves, the stalk was taken out and a section was cut, as shown in the diagram. 8 blue dye blue dye 17  The table shows the rate of water flow through a tree over a 12 hour period. time of day rate of flow / cm per hour 17:00 19:00 11:00 13:00 15:00 17:00 19:00 100 120 140 250 300 260 180 What conclusion can be drawn from the table? A  Between 7:00 and 17:00 hours the rate of flow continuously increases. B  The greatest increase in rate of flow in a two-hour period is between 11:00 and 13:00 hours. C  Water does not flow up through a tree at night. D  Water flow is affected by humidity.",screenshots/biology/2019/summer/component22/q16,,
2019.0,s,22,17.0,B,,,,
2019.0,s,22,18.0,B,18  The diagram shows some potato tubers. New shoots are beginning to grow. Sucrose is being translocated from source to sink. 9 tuber Which statement is correct? soil A  The tuber is a sink. B  The soil is a sink. C  The shoots are sources. D  The shoots are sinks.,screenshots/biology/2019/summer/component22/q18,,
2019.0,s,22,19.0,D,"19  The diagram shows cross-sections through three types of blood vessel, not drawn to the same scale. V W X Which section is from a vein and which is from a capillary? A B C D vein capillary V W W X W V X W [Turn over",screenshots/biology/2019/summer/component22/q19,,
2019.0,s,22,20.0,C,20  Which disease is transmissible? 10 A  cholera B  coronary heart disease C D  scurvy lung cancer,screenshots/biology/2019/summer/component22/q20,,
2019.0,s,22,21.0,D,,,,
2019.0,s,22,22.0,B,,,,
2019.0,s,22,23.0,D,23  Oxygen is required for aerobic respiration. How  many  molecules  of  oxygen  are  required  for  the  aerobic  respiration  of  three  molecules  of glucose? A  3 B  6 C  12 D  18,screenshots/biology/2019/summer/component22/q23,,
2019.0,s,22,24.0,B,24  Which statement about involuntary responses is correct? 11 A  They always result in the same response to the same stimulus. B  They are learned responses. C  They are slower than voluntary responses. D  They never use voluntary muscles.,screenshots/biology/2019/summer/component22/q24,,
2019.0,s,22,25.0,A,"25  The diagram shows the first part of a kidney tubule and its blood supply. During filtration, protein molecules do not pass through the wall of the glomerulus. Which part contains the highest concentration of protein? B A C D direction of blood flow",screenshots/biology/2019/summer/component22/q25,,
2019.0,s,22,26.0,B,26  The diagram shows a cross-section of the human eye. Which label points to the spot in the eye where vision is the sharpest? D B C A [Turn over,screenshots/biology/2019/summer/component22/q26,,
2019.0,s,22,27.0,D,,,,
2019.0,s,22,28.0,B,,,,
2019.0,s,22,29.0,A,29  What is an advantage of self-pollination? 13 A  Evolution is not possible. B  Genetic variation cannot occur. C D Isolated individuals can reproduce. It does not require gametes.,screenshots/biology/2019/summer/component22/q29,,
2019.0,s,22,30.0,A,30  Which feature allows the sperm to dissolve the jelly coating of the egg cell? A  acrosome B flagellum C  mitochondria D  nucleus menstrual cycle.,screenshots/biology/2019/summer/component22/q30,,
2019.0,s,22,31.0,B,31  The graph shows the relative concentration of hormones in the blood during days 14–28 of the Which letter represents the hormone progesterone in a woman who is not pregnant? relative concentration of hormones in the blood A B C D 14 16 18 20 22 24 26 28 time / days [Turn over,screenshots/biology/2019/summer/component22/q31,,
2019.0,s,22,32.0,D,32  The diagram shows the chromosomes in the nucleus of a cell that divides by mitosis. 14 Which diagram shows the chromosomes in the nucleus of one of the daughter cells produced? A B C D,screenshots/biology/2019/summer/component22/q32,,
2019.0,s,22,33.0,C ,,,,
2019.0,s,22,34.0,A,,,,
2019.0,s,22,35.0,D,35  When antibiotics are overused they become less effective. Which statement is correct? A  Artificial selection results in resistant strains of bacteria. B  Patients become resistant to the antibiotic. C  The antibiotic causes the bacteria to mutate. D  The antibiotic does not kill resistant bacteria.,screenshots/biology/2019/summer/component22/q35,,
2019.0,s,22,36.0,A,36  The diagram shows how sewage is treated. air out 15 screen settling tank sludge aeration tank air in Why is air bubbled through the aeration tank? second settling tank sludge sludge digester water to river sludge disposal A B C D to encourage microorganisms to reproduce quickly to float the sludge to settle the sludge to stop microorganisms from reproducing too quickly,screenshots/biology/2019/summer/component22/q36,,
2019.0,s,22,37.0,B,37  Which trophic level has the greatest amount of energy? A B C D 1 mahogany tree with several thousand leaves  →  1500 aphids → 10 small birds  →  2 eagles,screenshots/biology/2019/summer/component22/q37,,
2019.0,s,22,38.0,C,,,,
2019.0,s,22,39.0,B,39  Evidence shows that some aquatic organisms have been feminised. What is the most likely cause of this? increased nitrates running off farmland into the rivers female hormones excreted by women taking contraceptive pills infectious diseases in the fish A B C D  decreasing levels of oxygen in the rivers [Turn over,screenshots/biology/2019/summer/component22/q39,,
2019.0,s,22,40.0,C,,,,
2019.0,s,23,1.0,C,"1  Students find a small organism in a pond. They catch it and put it into a large jar of water. They see that the organism swims away from light. It lays some eggs before they put it back into the pond. Which characteristics of living things did the students see in this organism? 3 A  excretion, growth and respiration B  growth, nutrition and sensitivity C  movement, reproduction and sensitivity D  movement, reproduction and respiration",screenshots/biology/2019/summer/component23/q1,,
2019.0,s,23,2.0,D,,,,
2019.0,s,23,3.0,D,,,,
2019.0,s,23,4.0,D,4  Which features are possessed by all plant cells? a cell wall chloroplasts 3 A B C D (cid:22) (cid:22) (cid:26) (cid:26) (cid:22) (cid:26) (cid:22) (cid:26) key (cid:22)= present (cid:26)= absent,screenshots/biology/2019/summer/component23/q4,,
2019.0,s,23,5.0,C,5  The diagram shows a mitochondrion. The diagram is 70 mm long. What is the magnification of the diagram? 1 μm A  ×0.0007 B  ×70 C  ×7000 D  ×70 000,screenshots/biology/2019/summer/component23/q5,,
