month,year,component,question number,topic,text
m,2020,22,38,14 Organic chemistry,Ethanoic acid is a typical carboxylic acid. Which statement about ethanoic acid is correct? It can be oxidised to produce ethanol. B It is a proton acceptor. C It is fully dissociated in water. D It reacts with ethanol to produce ethyl ethanoate and water.
m,2020,22,39,14 Organic chemistry,"Which structure represents the ester made from ethanoic acid and propanol? H H C H H C H C O H C H H C H H C H H C H O C H C H O H H O
H C
H
H
C
H
H
C
H
H
C
H
H
C H
H
C O
B
HH O
H C
H
H
H 
C
H
C
H
H
C
H
C O H H O
H C
H
H
C
H
H
C
H"
m,2020,22,40,14 Organic chemistry,The structure of a polymer is shown. C O O N C H H N C H O N Which statements about the polymer are correct? 1 The polymer is nylon. 2 The polymer is formed by condensation polymerisation. 3 There are ester linkages between the monomers. 
m,2020,42,1,14 Organic chemistry,"Petroleum is a useful natural resource. The diagram shows how petroleum can be separated into useful substances. kerosene fraction A gasoline fraction refinery gas diesel oil fuel oil fraction petroleum lubricating oil fraction B (a) What is the name of the separation process shown in the diagram? .............................................................................................................................................. [2] (b) Name the fraction leaving at: A ................................................................................................................................................ B ................................................................................................................................................ [2] (c) Refinery gas is a mixture of hydrocarbons. One refinery gas is butane, C4H10. (i) Suggest the names of two other refinery gases. ............................................................... and .............................................................. [2] (ii) Write the chemical equation for the complete combustion of butane. ....................................................................................................................................... [2] (iii) Name the toxic gas produced by the incomplete combustion of butane. ....................................................................................................................................... [1]Gasoline and kerosene are both fuels. They have different properties.
(i) Describe the differences in the properties given.
viscosity of the fuel .............................................................................................................
.............................................................................................................................................
flammability of the fuel ........................................................................................................
.............................................................................................................................................
[2]
(ii) What difference in the molecules of gasoline and kerosene causes these differences in
properties?
....................................................................................................................................... [1]
(e) Hydrogen fuel cells can be used to power vehicles.
Write the word equation for the overall reaction that takes place in a hydrogen fuel cell.
.............................................................................................................................................. [1]
[Total: 13] "
m,2020,42,2,10 Metals,"Aluminium is extracted from its ore. The ore is converted into pure aluminium oxide, which then undergoes electrolysis as shown. + + + – anodes power supply electrolyte molten aluminium wires cathode (a) (i) Name an ore of aluminium. ....................................................................................................................................... [1] (ii) What is meant by the term electrolysis? ............................................................................................................................................. ....................................................................................................................................... [2] (b) Aluminium oxide has a melting point of about 2000°C, but the electrolysis process operates at about 900°C. (i) Name the compound added to aluminium oxide to reduce the operating temperature. ....................................................................................................................................... [1] (ii) Suggest one benefit to the environment of reducing the operating temperature. ............................................................................................................................................. ....................................................................................................................................... [1] (iii) Write the ionic half-equation for the reaction taking place at: the negative electrode (cathode) ........................................................................................ the positive electrode (anode) ............................................................................................ [4] (iv) Explain why the anodes need frequent replacement. ............................................................................................................................................. ........................................................................................................................................ [2] Aluminium oxide reacts with acids and with alkalis.
(i) What term is used to describe an oxide that reacts with acids and with alkalis?
....................................................................................................................................... [1]
(ii) Aluminium oxide reacts with dilute sulfuric acid to form a salt.
State the name and write the formula of the salt formed.
name ...................................................................................................................................
formula ................................................................................................................................
[2]
(iii) Aluminium oxide reacts with dilute sodium hydroxide to form a salt and one other product.
Name the other product.
....................................................................................................................................... [1]
(iv) Aluminium hydroxide, Al(OH)3, decomposes when heated to form aluminium oxide and
water.
Write the chemical equation for this reaction.
....................................................................................................................................... [2]
(v) Suggest the names of two other aluminium compounds that decompose when heated to
form aluminium oxide.
............................................................ "
m,2020,42,3,9 The Periodic Table,"The Periodic Table is a method of classifying elements. (a) Identify the element which is in Group VI and Period 4. .............................................................................................................................................. [1] (b) Calcium is in Group II and chlorine is in Group VII of the Periodic Table. Explain, in terms of number of outer shell electrons and electron transfer, how calcium atoms and chlorine atoms form ions. Give the formulae of the ions formed. .................................................................................................................................................... .................................................................................................................................................... .................................................................................................................................................... .................................................................................................................................................... .................................................................................................................................................... .................................................................................................................................................... .............................................................................................................................................. [5] (c) Group V chlorides are covalent molecules. The boiling points of some Group V chlorides are shown. chloride boiling point/ °C NCl 3 71 PCl 3 AsCl 3 130 SbCl 3 283 (i) Suggest the approximate boiling point of PCl 3. ....................................................................................................................................... [1] (ii) Explain the trend in boiling points in terms of attractive forces between particles. ............................................................................................................................................. ....................................................................................................................................... [2]Complete the dot-and-cross diagram to show the electron arrangement in a molecule of
PCl 3.
Show outer electrons only.
P
Cl
Cl Cl
[3]
(d) PCl 3 reacts with chlorine, Cl 2, to form PCl 5. This reaction is exothermic and reaches an
equilibrium.
PCl 3(g) + Cl 2(g) PCl 5(g)
(i) Describe two features of an equilibrium.
.............................................................................................................................................
.............................................................................................................................................
....................................................................................................................................... [2]
(ii) State the effect, if any, on the position of this equilibrium when the following changes are
made.
Explain your answers.
temperature is increased ....................................................................................................
.............................................................................................................................................
pressure is increased .........................................................................................................
.............................................................................................................................................
[4]
(iii) Explain, in terms of particles, what happens to the rate of the forward reaction when the
reaction mixture is heated.
.............................................................................................................................................
...............................................) PCl 5 reacts with lithium fluoride, LiF, to form LiPF6.
PCl 5 + 6LiF → LiPF6 + 5LiCl
Calculate the mass of LiF needed to form 3.04g of LiPF6 using the following steps.
● Calculate the number of moles of LiPF6 formed.
[Mr
: LiPF6, 152]
number of moles = ..............................
● Deduce the number of moles of LiF needed.
number of moles = ..............................
● Calculate the mass of LiF needed.
mass = .............................. g
[3]
(f) Lithium fluoride has ionic bonding.
(i) What is an ionic bond?
.............................................................................................................................................
....................................................................................................................................... [2]
(ii) Give two physical properties of ionic compounds.
.............................................................................................................................................
....................................................................................................................................... [2]
[ "
m,2020,42,4,10 Metals,"Iron is a typical transition element. Iron: ● acts as a catalyst ● forms coloured compounds ● has more than one oxidation state. (a) Name one major industrial process that uses iron as a catalyst and name the product made in this process. process ...................................................................................................................................... product made ............................................................................................................................. [2] (b) When aqueous sodium hydroxide is added to aqueous iron(II) sulfate, a precipitate forms. (i) What colour is this precipitate? ....................................................................................................................................... [1] (ii) Write the ionic equation for this reaction. Include state symbols. ....................................................................................................................................... [3] (c) Iron(II) sulfate can be converted to iron(III) sulfate by potassium manganate(VII) at room temperature. (i) What is the role of potassium manganate(VII) in this reaction? ....................................................................................................................................... [1] (ii) What condition must be used for this reaction to occur? ....................................................................................................................................... [1] (iii) In terms of electron transfer, what happens to the iron(II) ions in this reaction? ....................................................................................................................................... [1] (iv) State the colour change seen during this reaction. from purple to ............................................................................................................... [1] (d) Deduce the charge on the iron ion in each of these compounds. FeF3 ........................................................................................................................................... Fe(NO3)3 .................................................................................................................................... [2] "
m,2020,42,5,14 Organic chemistry,"There are two types of polymers. (a) Addition polymers are made from many identical small units. (i) What is the term used to describe these small units? ....................................................................................................................................... [1] (ii) A section of an addition polymer is shown. C H H C CH3 CH3 C H H C CH3 CH3 C H H C CH3 CH3 Draw the structure of the small unit used to make this addition polymer. Show all of the atoms and all of the bonds. [2] (b) Polyamides are condensation polymers. What does the term condensation mean when used to describe this type of polymer? ......................................................................................) A polyamide can be made from two different molecules.
A simplified structure of octanedioic acid is shown.
C C
O O
H O O H
A simplified structure of 1,6-diaminohexane is shown.
N N
H H
H H
(i) Complete the diagram to show a section of polyamide manufactured from octanedioic acid
and 1,6-diaminohexane. Include all of the atoms and all of the bonds in the linkages.
[3]
(ii) State the name of a synthetic polyamide.
.............................................................................................. "
s,2020,21,1,1 The particulate nature of matter,A mixture of ice and water is left to stand and the ice melts. Which row describes what happens as the ice is melting? temperature of mixture energy changes A increases average kinetic energy of particles increases B increases energy is used to overcome attractive forces C stays the same average kinetic energy of particles increases D stays the same energy is used to overcome attractive forces
s,2020,21,2,2 Experimental techniques,Which piece of apparatus should be used to measure exactly 21.4 cm3 of water? 25 cm3 beaker B 25 cm3 pipette C 50 cm3 burette D 50 cm3 measuring cylinder
s,2020,21,3,"3 Atoms, elements and compounds",The chromatogram for an unknown dye is shown. 12 cm 15 cm 2 cm 9 cm solvent front What is the Rf value of the dye? A 0.60 B 0.64 C 0.75 D 0.82
s,2020,21,4,"3 Atoms, elements and compounds","The atomic number and nucleon number of a potassium atom are shown.
 potassium atom
atomic number 19
nucleon number 39
How many protons, neutrons and electrons are in a potassium ion, K+
?  protons neutrons electrons A 19 20 18 B 19 20 20 C 20 19 18 D 20 19 19"
s,2020,21,5,"3 Atoms, elements and compounds","The electronic structures of two atoms, P and Q, are shown. P Q P and Q combine together to form a compound. What is the type of bonding in the compound and what is the formula of the compound? type of bonding formula A ionic PQ B ionic PQ2 C covalent PQ2 D covalent PQ"
s,2020,21,6,"3 Atoms, elements and compounds","Which row contains a description of metallic bonding and a property that is explained by reference to metallic bonding? description of metallic bonding property explained by metallic bonding A a lattice of negative ions in a sea of electrons a metal will react with an acid, producing hydrogen B a lattice of negative ions in a sea of electrons a piece of a metal can be moulded into different shapes C a lattice of positive ions in a sea of electrons a metal will react with an acid, producing hydrogen D a lattice of positive ions in a sea of electrons a piece of a metal can be moulded into different shapes"
s,2020,21,7,"3 Atoms, elements and compounds",Which statement explains why methane has a lower boiling point than water? Methane has weaker covalent bonds than water. B Methane has weaker attractive forces than water. C Methane molecules are heavier than water molecules. D Methane molecules have more bonds than water molecules.
s,2020,21,8,4 Stoichiometry,"A solution of iron(III) sulfate reacts with aqueous sodium hydroxide to form a red–brown precipitate. What is the balanced equation, including state symbols, for the reaction? FeSO4(aq) + 2NaOH(aq) → Fe(OH)2(s) + Na2SO4(aq) B FeSO4(l) + 2NaOH(l) → Fe(OH)2(s) + Na2SO4(l) C Fe2(SO4)3(aq) + 6NaOH(aq) → 2Fe(OH)3(s) + 3Na2SO4(aq) D Fe2(SO4)3(l) + 6NaOH(aq) → 2Fe(OH)3(s) + 3Na2SO4(l)"
s,2020,21,9,4 Stoichiometry,"The Haber process is a reversible reaction. N2(g) + 3H2(g) 2NH3(g) The reaction has a 30% yield of ammonia. Which volume of ammonia gas, NH3, measured at room temperature and pressure, is obtained by reacting 0.75 moles of hydrogen with excess nitrogen? A 3600 cm3 B 5400 cm3 C 12 000cm3 D 18 000cm3"
s,2020,21,10,6 Chemical energetics,Dilute aqueous sodium chloride is electrolysed using platinum electrodes. What is the half-equation for the reaction at the cathode? A 2H+ + 2e– → H2 B Na+ + e– → Na C 2Cl – → Cl 2 + 2e– D 4OH– → 2H2O + O2 + 4e–
s,2020,21,11,6 Chemical energetics,"The electrolysis of aqueous copper(II) sulfate, using inert electrodes, is shown. aqueous copper(II) sulfate + – Which statement about a reaction at an electrode is correct? Copper ions gain electrons at the negative electrode. B Copper ions gain electrons at the positive electrode. C Hydrogen ions gain electrons at the negative electrode. D Hydrogen ions gain electrons at the positive electrode."
s,2020,21,12,6 Chemical energetics,"The equation for the complete combustion of methane gas is shown. CH4(g) + 2O2(g) → CO2(g) + 2H2O(g) Bond energies are shown. bond bond energy in kJ / mol C–H 412 H–O 463 C=O 743 O=O 498 What is the overall energy change, in kJ /mol, for the above reaction? A –1192 B –694 C +694 D +1192"
s,2020,21,13,7 Chemical reactions,Which statements about hydrogen fuel cells are correct? 1 Water is formed as the only waste product. 2 Both water and carbon dioxide are formed as waste products. 3 The overall reaction is 2H2 + O2 → 2H2O. 4 The overall reaction is endothermic. 
s,2020,21,14,7 Chemical reactions,Which diagram represents a chemical change? 
s,2020,21,15,7 Chemical reactions,The rate of reaction between calcium carbonate chips and hydrochloric acid is studied by collecting the volume of gas released in one minute at different temperatures. A graph of rate of reaction against temperature is shown. 80 70 60 50 40 30 20 10 0 rate of reaction cm3 /min temperature / °C 0 10 20 30 40 50 60 Which statement fully explains why increasing the temperature has this effect on the rate? The kinetic energy of the particles increases so the collisions are harder. B The number of collisions between particles increases. C The activation energy needed for the particles to react is reduced. D There are more frequent collisions between particles with enough energy to react.
s,2020,21,16,7 Chemical reactions,"The equation shows the equilibrium between dinitrogen tetroxide, N2O4, and nitrogen dioxide, NO2. The colours of the reactant and product are also shown. N2O4(g) 2NO2(g) colourless brown The forward reaction is endothermic. Which statement is not correct At equilibrium the concentrations of the reactant and the product are constant. B At equilibrium the rate of the forward reaction is equal to the rate of the reverse reaction. C When the pressure is increased a darker brown colour is seen. D When the temperature is increased a darker brown colour is seen."
s,2020,21,17,7 Chemical reactions,The equations for two reactions of iodide ions are shown. reaction 1 2I – (aq) + H2O2(aq) → I2(aq) + 2OH– (aq) reaction 2 I– (aq) + Ag+ (aq) → AgI(s) Which statement is correct? 
s,2020,21,18,"8 Acids, bases and salts",The graph shows how the pH of a solution changes as an acid is added to an alkali. acid + alkali → salt + water Which letter represents the area of the graph where both acid and salt are present? pH A B C D 14 7 0 volume of acid added
s,2020,21,19,"8 Acids, bases and salts",Which statement describes a weak acid? A It is a proton acceptor and is fully ionised in aqueous solution. B It is a proton acceptor and is partially ionised in aqueous solution. C It is a proton donor and is fully ionised in aqueous solution. D It is a proton donor and is partially ionised in aqueous solution.
s,2020,21,21,"8 Acids, bases and salts","Lead(II) sulfate is an insoluble salt. Which method is suitable for obtaining solid lead(II) sulfate? Mix aqueous lead(II) nitrate and aqueous potassium sulfate, heat to evaporate all of the water, collect the solid and then wash and dry it. B Mix aqueous lead(II) nitrate and aqueous potassium sulfate, filter, collect the filtrate, crystallise, then wash and dry the crystals. C Mix aqueous lead(II) nitrate and dilute sulfuric acid, filter, then wash and dry the residue. D Titrate aqueous lead(II) hydroxide with dilute sulfuric acid, crystallise, then wash and dry the crystals."
s,2020,21,22,10 Metals,"A Group I metal (lithium, sodium or potassium) is reacted with a Group VII element (chlorine, bromine or iodine). Which compound is formed when the Group I metal of highest density reacts with the Group VII element of lowest density? lithium chloride B potassium chloride C potassium iodide D lithium iodid"
s,2020,21,23,10 Metals,"The properties of the element titanium, Ti, can be predicted from its position in the Periodic Table. Which row identifies the properties of titanium? can be used as a catalyst conducts electricity when solid has low density forms coloured compounds A     B     C     D    "
s,2020,21,24,11 Air and water,A balloon is filled with helium. Helium is a noble gas and makes the balloon rise up in the air. The density of air is 1.23 g /dm3 . Which gas is helium? density in g /dm3 reaction with oxygen A 0.0899 burns rapidly B 0.179 does not react with oxygen C 1.78 does not react with oxygen D 3.75 does not react with oxygen
s,2020,21,25,10 Metals,Which property is shown by all metals? They are extracted from their ores by heating with carbon. B They conduct electricity. C They form acidic oxides. D They react with hydrochloric acid to form hydrogen.
s,2020,21,27,10 Metals, 
s,2020,21,28,10 Metals, 
s,2020,21,29,11 Air and water, 
s,2020,21,30,11 Air and water, 
s,2020,21,31,11 Air and water, 
s,2020,21,32,11 Air and water, 
s,2020,21,33,13 Carbonates, 
s,2020,21,34,12 Sulfur, 
s,2020,21,35,14 Organic chemistry, 
s,2020,21,36,14 Organic chemistry, 
s,2020,21,37,14 Organic chemistry, 
s,2020,21,38,14 Organic chemistry, 
s,2020,21,39,14 Organic chemistry, 
s,2020,21,40,14 Organic chemistry, 
s,2020,22,1,1 The particulate nature of matter, 
s,2020,22,2,2 Experimental techniques, 
s,2020,22,3,"3 Atoms, elements and compounds", 
s,2020,22,4,"3 Atoms, elements and compounds", 
s,2020,22,5,"3 Atoms, elements and compounds", 
s,2020,22,6,"3 Atoms, elements and compounds", 
s,2020,22,7,"3 Atoms, elements and compounds", 
s,2020,22,8,4 Stoichiometry, 
s,2020,22,9,4 Stoichiometry, 
s,2020,22,10,6 Chemical energetics, 
s,2020,22,11,6 Chemical energetics, 
s,2020,22,12,6 Chemical energetics, 
s,2020,22,13,7 Chemical reactions, 
s,2020,22,14,7 Chemical reactions, 
s,2020,22,15,7 Chemical reactions, 
s,2020,22,16,7 Chemical reactions, 
s,2020,22,17,7 Chemical reactions, 
s,2020,22,18,"8 Acids, bases and salts", 
s,2020,22,19,"8 Acids, bases and salts", 
s,2020,22,21,"8 Acids, bases and salts", 
s,2020,22,22,10 Metals, 
s,2020,22,23,10 Metals, 
s,2020,22,24,11 Air and water, 
s,2020,22,25,10 Metals, 
s,2020,22,27,10 Metals, 
s,2020,22,28,10 Metals, 
s,2020,22,29,11 Air and water, 
s,2020,22,30,11 Air and water, 
s,2020,22,31,11 Air and water, 
s,2020,22,32,11 Air and water, 
s,2020,22,33,13 Carbonates, 
s,2020,22,34,12 Sulfur, 
s,2020,22,35,14 Organic chemistry, 
s,2020,22,36,14 Organic chemistry, 
s,2020,22,37,14 Organic chemistry, 
s,2020,22,38,14 Organic chemistry, 
s,2020,22,39,14 Organic chemistry, 
s,2020,22,40,14 Organic chemistry, 
s,2020,23,1,1 The particulate nature of matter, 
s,2020,23,2,2 Experimental techniques, 
s,2020,23,3,"3 Atoms, elements and compounds", 
s,2020,23,4,"3 Atoms, elements and compounds", 
s,2020,23,5,"3 Atoms, elements and compounds", 
s,2020,23,6,"3 Atoms, elements and compounds", 
s,2020,23,7,"3 Atoms, elements and compounds", 
s,2020,23,8,4 Stoichiometry, 
s,2020,23,9,4 Stoichiometry, 
s,2020,23,10,6 Chemical energetics, 
s,2020,23,11,6 Chemical energetics, 
s,2020,23,12,6 Chemical energetics, 
s,2020,23,13,7 Chemical reactions, 
s,2020,23,14,7 Chemical reactions, 
s,2020,23,15,7 Chemical reactions, 
s,2020,23,16,7 Chemical reactions, 
s,2020,23,17,7 Chemical reactions, 
s,2020,23,18,"8 Acids, bases and salts", 
s,2020,23,19,"8 Acids, bases and salts", 
s,2020,23,21,"8 Acids, bases and salts", 
s,2020,23,22,10 Metals, 
s,2020,23,23,10 Metals, 
s,2020,23,24,11 Air and water, 
s,2020,23,25,10 Metals, 
s,2020,23,27,10 Metals, 
s,2020,23,28,10 Metals, 
s,2020,23,29,11 Air and water, 
s,2020,23,30,11 Air and water, 
s,2020,23,31,11 Air and water, 
s,2020,23,32,11 Air and water, 
s,2020,23,33,13 Carbonates, 
s,2020,23,34,12 Sulfur, 
s,2020,23,35,14 Organic chemistry, 
s,2020,23,36,14 Organic chemistry, 
s,2020,23,37,14 Organic chemistry, 
s,2020,23,38,14 Organic chemistry, 
s,2020,23,39,14 Organic chemistry, 
s,2020,23,40,14 Organic chemistry, 
