year,month,component,question number,answer
2019,s,21,16,B
2019,s,21,17,D
2019,s,21,18,B
2019,s,21,19,B
2019,s,21,20,C
2019,s,21,21,B
2019,s,21,22,D
2019,s,21,23,D
2019,s,21,24,B
2019,s,21,25,A
2019,s,21,26,D
2019,s,21,27,D
2019,s,21,28,B
2019,s,21,29,C
2019,s,21,30,B
2019,s,21,31,B
2019,s,21,32,A
2019,s,21,33,B
2019,s,21,34,C
2019,s,21,35,D
2019,s,21,36,C
2019,s,21,37,D
2019,s,21,38,C
2019,s,21,39,B
2019,s,21,40,B
2019,m,22,1,D
2019,m,22,2,C
2019,m,22,3,C
2019,m,22,4,A
2019,m,22,5,B
2019,m,22,6,D
2019,m,22,7,C
2019,m,22,8,B
2019,m,22,9,B
2019,m,22,10,A
2019,m,22,11,C
2019,m,22,12,B
2019,m,22,13,C
2019,m,22,14,B
2019,m,22,15,D
2019,m,22,16,D
2019,m,22,17,C
2019,m,22,18,C
2019,m,22,19,D
2019,m,22,20,C
2019,m,22,21,C
2019,m,22,22,C
2019,m,22,23,D
2019,m,22,24,A
2019,m,22,25,D
2019,m,22,26,B
2019,m,22,27,C
2019,m,22,28,C
2019,m,22,29,B
2019,m,22,30,B
2019,m,22,31,A
2019,m,22,32,C
2019,m,22,33,A
2019,m,22,34,A
2019,m,22,35,B
2019,m,22,36,A
2019,m,22,37,D
2019,m,22,38,C
2019,m,22,39,A
2019,m,22,40,C
2019,w,23,1,C
2019,w,23,2,D
2019,w,23,3,B
2019,w,23,4,B
2019,w,23,5,B
2019,w,23,6,A
2019,w,23,7,D
2019,w,23,8,C
2019,w,23,9,B
2019,w,23,10,A
2019,w,23,11,C
2019,w,23,12,C
2019,w,23,13,C
2019,w,23,14,C
2019,w,23,15,A
2019,w,23,16,B
2019,w,23,17,A
2019,w,23,18,D
2019,w,23,19,D
2019,w,23,20,B
2019,w,23,21,A
2019,w,23,22,B
2019,w,23,23,D
2019,w,23,24,D
2019,w,23,25,D
2019,w,23,26,D
2019,w,23,27,C
2019,w,23,28,D
2019,w,23,29,D
2019,w,23,30,B
2019,w,23,31,C
2019,w,23,32,B
2019,w,23,33,B
2019,w,23,34,B
2019,w,23,35,B
2019,w,23,36,B
2019,w,23,37,A
2019,w,23,38,A
2019,w,23,39,C
2019,w,23,40,C
2019,w,22,1,D
2019,w,22,2,C
2019,w,22,3,B
2019,w,22,4,A
2019,w,22,5,D
2019,w,22,6,C
2019,w,22,7,D
2019,w,22,8,C
2019,w,22,9,B
2019,w,22,10,C
2019,w,22,11,C
2019,w,22,12,B
2019,w,22,13,C
2019,w,22,14,C
2019,w,22,15,B
2019,w,22,16,A
2019,w,22,17,C
2019,w,22,18,A
2019,w,22,19,A
2019,w,22,20,D
2019,w,22,21,D
2019,w,22,22,A
2019,w,22,23,C
2019,w,22,24,B
2019,w,22,25,D
2019,w,22,26,D
2019,w,22,27,D
2019,w,22,28,C
2019,w,22,29,D
2019,w,22,30,D
2019,w,22,31,A
2019,w,22,32,A
2019,w,22,33,A
2019,w,22,34,B
2019,w,22,35,B
2019,w,22,36,C
2019,w,22,37,D
2019,w,22,38,B
2019,w,22,39,B
2019,w,22,40,A
2019,w,21,1,C
2019,w,21,2,C
2019,w,21,3,B
2019,w,21,4,C
2019,w,21,5,D
2019,w,21,6,B
2019,w,21,7,D
2019,w,21,8,C
2019,w,21,9,B
2019,w,21,10,C
2019,w,21,11,D
2019,w,21,12,C
2019,w,21,13,C
2019,w,21,14,B
2019,w,21,15,C
2019,w,21,16,D
2019,w,21,17,A
2019,w,21,18,A
2019,w,21,19,C
2019,w,21,20,B
2019,w,21,21,A
2019,w,21,22,C
2019,w,21,23,A
2019,w,21,24,D
2019,w,21,25,D
2019,w,21,26,D
2019,w,21,27,C
2019,w,21,28,D
2019,w,21,29,B
2019,w,21,30,D
2019,w,21,31,A
2019,w,21,32,B
2019,w,21,33,B
2019,w,21,34,C
2019,w,21,35,B
2019,w,21,36,C
2019,w,21,37,A
2019,w,21,38,A
2019,w,21,39,B
2019,w,21,40,A
2020,w,23,1,B
2020,w,23,2,B
2020,w,23,3,B
2020,w,23,4,B
2020,w,23,5,A
2020,w,23,6,A
2020,w,23,7,C
2020,w,23,8,B
2020,w,23,9,C
2020,w,23,10,C
2020,w,23,11,C
2020,w,23,12,A
2020,w,23,13,B
2020,w,23,14,C
2020,w,23,15,D
2020,w,23,16,A
2020,w,23,17,D
2020,w,23,18,B
2020,w,23,19,B
2020,w,23,20,C
2020,w,23,21,D
2020,w,23,22,C
2020,w,23,23,D
2020,w,23,24,B
2020,w,23,25,A
2020,w,23,26,C
2020,w,23,27,B
2020,w,23,28,B
2020,w,23,29,A
2020,w,23,30,A
2020,w,23,31,A
2020,w,23,32,C
2020,w,23,33,B
2020,w,23,34,D
2020,w,23,35,A
2020,w,23,36,A
2020,w,23,37,D
2020,w,23,38,A
2020,w,23,39,D
2020,w,23,40,C
2020,w,22,1,D
2020,w,22,2,C
2020,w,22,3,C
2020,w,22,4,B
2020,w,22,5,D
2020,w,22,6,C
2020,w,22,7,A
2020,w,22,8,B
2020,w,22,9,C
2020,w,22,10,C
2020,w,22,11,D
2020,w,22,12,A
2020,w,22,13,C
2020,w,22,14,C
2020,w,22,15,D
2020,w,22,16,C
2020,w,22,17,C
2020,w,22,18,A
2020,w,22,19,C
2020,w,22,20,A
2020,w,22,21,D
2020,w,22,22,C
2020,w,22,23,D
2020,w,22,24,B
2020,w,22,25,B
2020,w,22,26,B
2020,w,22,27,B
2020,w,22,28,A
2020,w,22,29,C
2020,w,22,30,B
2020,w,22,31,C
2020,w,22,32,A
2020,w,22,33,B
2020,w,22,34,B
2020,w,22,35,A
2020,w,22,36,C
2020,w,22,37,D
2020,w,22,38,A
2020,w,22,39,A
2020,w,22,40,C
2020,w,21,1,C
2020,w,21,2,A
2020,w,21,3,D
2020,w,21,4,B
2020,w,21,5,B
2020,w,21,6,B
2020,w,21,7,A
2020,w,21,8,B
2020,w,21,9,C
2020,w,21,10,C
2020,w,21,11,C
2020,w,21,12,A
2020,w,21,13,B
2020,w,21,14,C
2020,w,21,15,D
2020,w,21,16,A
2020,w,21,17,C
2020,w,21,18,C
2020,w,21,19,A
2020,w,21,20,C
2020,w,21,21,D
2020,w,21,22,C
2020,w,21,23,B
2020,w,21,24,B
2020,w,21,25,A
2020,w,21,26,B
2020,w,21,27,B
2020,w,21,28,C
2020,w,21,29,A
2020,w,21,30,C
2020,w,21,31,A
2020,w,21,32,C
2020,w,21,33,A
2020,w,21,34,B
2020,w,21,35,A
2020,w,21,36,C
2020,w,21,37,C
2020,w,21,38,D
2020,w,21,39,A
2020,w,21,40,C
2020,s,23,1,B
2020,s,23,2,A
2020,s,23,3,A
2020,s,23,4,C
2020,s,23,5,A
2020,s,23,6,D
2020,s,23,7,B
2020,s,23,8,B
2020,s,23,9,D
2020,s,23,10,D
2020,s,23,11,C
2020,s,23,12,A
2020,s,23,13,C
2020,s,23,14,C
2020,s,23,15,D
2020,s,23,16,B
2020,s,23,17,A
2020,s,23,18,A
2020,s,23,19,B
2020,s,23,20,D
2020,s,23,21,B
2020,s,23,22,C
2020,s,23,23,A
2020,s,23,24,A
2020,s,23,25,A
2020,s,23,26,C
2020,s,23,27,D
2020,s,23,28,A
2020,s,23,29,C
2020,s,23,30,D
2020,s,23,31,A
2020,s,23,32,B
2020,s,23,33,A
2020,s,23,34,B
2020,s,23,35,B
2020,s,23,36,A
2020,s,23,37,A
2020,s,23,38,D
2020,s,23,39,A
2020,s,23,40,A
2020,s,22,1,A
2020,s,22,2,A
2020,s,22,3,A
2020,s,22,4,C
2020,s,22,5,B
2020,s,22,6,C
2020,s,22,7,B
2020,s,22,8,C
2020,s,22,9,A
2020,s,22,10,B
2020,s,22,11,C
2020,s,22,12,A
2020,s,22,13,C
2020,s,22,14,B
2020,s,22,15,A
2020,s,22,16,D
2020,s,22,17,A
2020,s,22,18,A
2020,s,22,19,D
2020,s,22,20,B
2020,s,22,21,A
2020,s,22,22,B
2020,s,22,23,C
2020,s,22,24,A
2020,s,22,25,D
2020,s,22,26,C
2020,s,22,27,C
2020,s,22,28,B
2020,s,22,29,C
2020,s,22,30,C
2020,s,22,31,A
2020,s,22,32,B
2020,s,22,33,B
2020,s,22,34,B
2020,s,22,35,C
2020,s,22,36,B
2020,s,22,37,A
2020,s,22,38,D
2020,s,22,39,A
2020,s,22,40,A
2020,s,21,1,B
2020,s,21,2,A
2020,s,21,3,A
2020,s,21,4,C
2020,s,21,5,D
2020,s,21,6,B
2020,s,21,7,C
2020,s,21,8,A
2020,s,21,9,A
2020,s,21,10,C
2020,s,21,11,B
2020,s,21,12,A
2020,s,21,13,C
2020,s,21,14,B
2020,s,21,15,A
2020,s,21,16,C
2020,s,21,17,A
2020,s,21,18,A
2020,s,21,19,C
2020,s,21,20,A
2020,s,21,21,B
2020,s,21,22,C
2020,s,21,23,C
2020,s,21,24,A
2020,s,21,25,C
2020,s,21,26,C
2020,s,21,27,B
2020,s,21,28,C
2020,s,21,29,C
2020,s,21,30,A
2020,s,21,31,B
2020,s,21,32,A
2020,s,21,33,C
2020,s,21,34,B
2020,s,21,35,B
2020,s,21,36,C
2020,s,21,37,A
2020,s,21,38,D
2020,s,21,39,A
2020,s,21,40,A
2020,m,22,1,A
2020,m,22,2,A
2020,m,22,3,D
2020,m,22,4,D
2020,m,22,5,C
2020,m,22,6,D
2020,m,22,7,A
2020,m,22,8,C
2020,m,22,9,C
2020,m,22,10,B
2020,m,22,11,C
2020,m,22,12,C
2020,m,22,13,C
2020,m,22,14,D
2020,m,22,15,B
2020,m,22,16,C
2020,m,22,17,A
2020,m,22,18,C
2020,m,22,19,A
2020,m,22,20,C
2020,m,22,21,D
2020,m,22,22,A
2020,m,22,23,A
2020,m,22,24,D
2020,m,22,25,A
2020,m,22,26,D
2020,m,22,27,C
2020,m,22,28,C
2020,m,22,29,A
2020,m,22,30,C
2020,m,22,31,B
2020,m,22,32,D
2020,m,22,33,D
2020,m,22,34,D
2020,m,22,35,B
2020,m,22,36,C
2020,m,22,37,C
2020,m,22,38,B
2020,m,22,39,B
2020,m,22,40,B
2021,w,23,1,B
2021,w,23,2,A
2021,w,23,3,D
2021,w,23,4,C
2021,w,23,5,A
2021,w,23,6,B
2021,w,23,7,B
2021,w,23,8,D
2021,w,23,9,C
2021,w,23,10,C
2021,w,23,11,D
2021,w,23,12,C
2021,w,23,13,B
2021,w,23,14,C
2021,w,23,15,B
2021,w,23,16,B
2021,w,23,17,A
2021,w,23,18,C
2021,w,23,19,B
2021,w,23,20,C
2021,w,23,21,A
2021,w,23,22,A
2021,w,23,23,A
2021,w,23,24,B
2021,w,23,25,D
2021,w,23,26,C
2021,w,23,27,A
2021,w,23,28,D
2021,w,23,29,D
2021,w,23,30,D
2021,w,23,31,A
2021,w,23,32,A
2021,w,23,33,A
2021,w,23,34,D
2021,w,23,35,A
2021,w,23,36,A
2021,w,23,37,C
2021,w,23,38,B
2021,w,23,39,A
2021,w,23,40,B
2021,w,22,1,C
2021,w,22,2,D
2021,w,22,3,B
2021,w,22,4,C
2021,w,22,5,A
2021,w,22,6,B
2021,w,22,7,C
2021,w,22,8,D
2021,w,22,9,A
2021,w,22,10,A
2021,w,22,11,C
2021,w,22,12,C
2021,w,22,13,D
2021,w,22,14,C
2021,w,22,15,D
2021,w,22,16,B
2021,w,22,17,C
2021,w,22,18,C
2021,w,22,19,B
2021,w,22,20,C
2021,w,22,21,B
2021,w,22,22,A
2021,w,22,23,C
2021,w,22,24,B
2021,w,22,25,A
2021,w,22,26,A
2021,w,22,27,B
2021,w,22,28,D
2021,w,22,29,D
2021,w,22,30,D
2021,w,22,31,D
2021,w,22,32,A
2021,w,22,33,B
2021,w,22,34,D
2021,w,22,35,B
2021,w,22,36,C
2021,w,22,37,C
2021,w,22,38,B
2021,w,22,39,A
2021,w,22,40,B
2021,w,21,1,D
2021,w,21,2,D
2021,w,21,3,A
2021,w,21,4,C
2021,w,21,5,C
2021,w,21,6,B
2021,w,21,7,A
2021,w,21,8,D
2021,w,21,9,B
2021,w,21,10,B
2021,w,21,11,A
2021,w,21,12,C
2021,w,21,13,B
2021,w,21,14,C
2021,w,21,15,D
2021,w,21,16,B
2021,w,21,17,D
2021,w,21,18,B
2021,w,21,19,B
2021,w,21,20,C
2021,w,21,21,D
2021,w,21,22,A
2021,w,21,23,C
2021,w,21,24,B
2021,w,21,25,B
2021,w,21,26,B
2021,w,21,27,C
2021,w,21,28,D
2021,w,21,29,B
2021,w,21,30,D
2021,w,21,31,C
2021,w,21,32,A
2021,w,21,33,C
2021,w,21,34,C
2021,w,21,35,A
2021,w,21,36,D
2021,w,21,37,C
2021,w,21,38,A
2021,w,21,39,B
2021,w,21,40,A
2021,s,23,1,C
2021,s,23,2,A
2021,s,23,3,B
2021,s,23,4,C
2021,s,23,5,D
2021,s,23,6,D
2021,s,23,7,C
2021,s,23,8,D
2021,s,23,9,B
2021,s,23,10,C
2021,s,23,11,D
2021,s,23,12,D
2021,s,23,13,A
2021,s,23,14,D
2021,s,23,15,B
2021,s,23,16,C
2021,s,23,17,A
2021,s,23,18,D
2021,s,23,19,B
2021,s,23,20,A
2021,s,23,21,C
2021,s,23,22,B
2021,s,23,23,A
2021,s,23,24,A
2021,s,23,25,B
2021,s,23,26,D
2021,s,23,27,C
2021,s,23,28,D
2021,s,23,29,C
2021,s,23,30,D
2021,s,23,31,C
2021,s,23,32,B
2021,s,23,33,C
2021,s,23,34,B
2021,s,23,35,A
2021,s,23,36,C
2021,s,23,37,D
2021,s,23,38,A
2021,s,23,39,B
2021,s,23,40,B
2021,s,22,1,A
2021,s,22,2,A
2021,s,22,3,D
2021,s,22,4,C
2021,s,22,5,D
2021,s,22,6,D
2021,s,22,7,D
2021,s,22,8,C
2021,s,22,9,A
2021,s,22,10,B
2021,s,22,11,A
2021,s,22,12,D
2021,s,22,13,C
2021,s,22,14,C
2021,s,22,15,B
2021,s,22,16,A
2021,s,22,17,D
2021,s,22,18,C
2021,s,22,19,A
2021,s,22,20,A
2021,s,22,21,C
2021,s,22,22,B
2021,s,22,23,B
2021,s,22,24,A
2021,s,22,25,C
2021,s,22,26,C
2021,s,22,27,D
2021,s,22,28,A
2021,s,22,29,D
2021,s,22,30,C
2021,s,22,31,D
2021,s,22,32,D
2021,s,22,33,C
2021,s,22,34,D
2021,s,22,35,B
2021,s,22,36,C
2021,s,22,37,C
2021,s,22,38,D
2021,s,22,39,B
2021,s,22,40,B
2021,s,21,1,C
2021,s,21,2,B
2021,s,21,3,A
2021,s,21,4,D
2021,s,21,5,A
2021,s,21,6,D
2021,s,21,7,D
2021,s,21,8,D
2021,s,21,9,C
2021,s,21,10,D
2021,s,21,11,A
2021,s,21,12,D
2021,s,21,13,D
2021,s,21,14,C
2021,s,21,15,B
2021,s,21,16,A
2021,s,21,17,B
2021,s,21,18,B
2021,s,21,19,A
2021,s,21,20,C
2021,s,21,21,C
2021,s,21,22,B
2021,s,21,23,A
2021,s,21,24,A
2021,s,21,25,D
2021,s,21,26,B
2021,s,21,27,C
2021,s,21,28,B
2021,s,21,29,C
2021,s,21,30,D
2021,s,21,31,B
2021,s,21,32,C
2021,s,21,33,D
2021,s,21,34,B
2021,s,21,35,B
2021,s,21,36,B
2021,s,21,37,D
2021,s,21,38,D
2021,s,21,39,A
2021,s,21,40,B
2021,m,22,1,B
2021,m,22,2,D
2021,m,22,3,C
2021,m,22,4,D
2021,m,22,5,C
2021,m,22,6,A
2021,m,22,7,C
2021,m,22,8,C
2021,m,22,9,C
2021,m,22,10,D
2021,m,22,11,B
2021,m,22,12,C
2021,m,22,13,A
2021,m,22,14,C
2021,m,22,15,D
2021,m,22,16,C
2021,m,22,17,A
2021,m,22,18,B
2021,m,22,19,B
2021,m,22,20,A
2021,m,22,21,D
2021,m,22,22,A
2021,m,22,23,C
2021,m,22,24,D
2021,m,22,25,D
2021,m,22,26,B
2021,m,22,27,C
2021,m,22,28,B
2021,m,22,29,D
2021,m,22,30,C
2021,m,22,31,B
2021,m,22,32,D
2021,m,22,33,D
2021,m,22,34,A
2021,m,22,35,D
2021,m,22,36,C
2021,m,22,37,D
2021,m,22,38,C
2021,m,22,39,B
2021,m,22,40,B
